Fecha,Combinación,Entropía,FFT Magnitud,Saltos bajos,Saltos medios,Saltos altos,d_0s,d_10s,d_20s,d_30s,d_40s,Perfil Jackpot
2025-04-05,"[13, 18, 22, 23, 30, 39]",2.4995560461183075,255.73418534374002,3.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,A
2025-07-03,"[3, 9, 15, 20, 27, 35]",2.3073311000199834,247.96076010823393,1.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,B
2024-10-26,"[7, 11, 14, 25, 29, 36]",2.3889065603234525,251.5561348169823,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,A
2024-04-16,"[8, 12, 16, 25, 28, 36]",2.423070743681622,248.48200952221123,3.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,A
2023-10-26,"[8, 11, 25, 27, 34, 37]",2.4155525685288035,275.23506274976785,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,A
2023-06-08,"[6, 15, 18, 20, 29, 37]",2.4118517306690124,256.32657653542134,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,A
2023-04-13,"[5, 8, 10, 13, 26, 31]",2.316296918067105,213.63068980100365,4.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,B
2023-04-11,"[8, 10, 22, 29, 31, 38]",5.23608,39.736633,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,C
2022-09-17,"[10, 16, 17, 24, 32, 33]",5.252855596281599,31.04834939252005,2.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,C
2022-06-30,"[1, 7, 15, 26, 28, 34]",5.252855596281599,43.31281565541543,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,C
