combination,score,svi_score,source,timestamp
"[3, 11, 18, 25, 28, 35]",0.16223721531331764,0.5,genetico,2025-08-04T16:14:21.255710
"[1, 3, 11, 12, 20, 35]",0.15503145366277646,0.5,genetico,2025-08-04T16:14:21.255714
"[1, 4, 5, 12, 30, 40]",0.15202519591877647,0.5,montecarlo,2025-08-04T16:14:21.255715
"[4, 5, 13, 14, 21, 31]",0.15197035599720785,0.5,montecarlo,2025-08-04T16:14:21.255717
"[1, 9, 17, 32, 36, 40]",0.15162822922072455,0.5,apriori,2025-08-04T16:14:21.255718
"[2, 9, 13, 15, 28, 35]",0.15141412812661678,0.5,apriori,2025-08-04T16:14:21.255720
"[11, 13, 23, 28, 33, 37]",0.15121247025519383,0.5,apriori,2025-08-04T16:14:21.255721
"[7, 8, 13, 14, 15, 30]",0.15113574047523806,0.5,apriori,2025-08-04T16:14:21.255723
"[4, 10, 20, 26, 29, 37]",0.1510528205882353,0.5,clustering,2025-08-04T16:14:21.255724
"[2, 11, 18, 22, 28, 32]",0.15094936470588236,0.5,clustering,2025-08-04T16:14:21.255726
"[10, 12, 20, 29, 30, 38]",0.15093227647058824,0.5,clustering,2025-08-04T16:14:21.255728
"[3, 5, 18, 21, 31, 33]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255732
"[6, 13, 14, 19, 25, 29]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255734
"[1, 29, 30, 36, 38, 40]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255735
"[7, 10, 16, 24, 34, 38]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255737
"[9, 26, 29, 34, 36, 39]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255740
"[5, 29, 30, 32, 34, 39]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255741
"[2, 4, 9, 16, 22, 29]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255743
"[9, 10, 13, 17, 25, 30]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255747
"[2, 7, 13, 14, 24, 34]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255749
"[6, 7, 8, 11, 33, 35]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255750
"[3, 14, 15, 29, 39, 40]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255752
"[2, 3, 9, 12, 21, 25]",0.15,0.5,montecarlo,2025-08-04T16:14:21.255753
"[2, 15, 24, 30, 32, 34]",0.15,0.5,apriori,2025-08-04T16:14:21.255755
"[3, 6, 17, 21, 23, 39]",0.15,0.5,apriori,2025-08-04T16:14:21.255756
"[2, 13, 14, 17, 29, 36]",0.15,0.5,apriori,2025-08-04T16:14:21.255758
"[11, 12, 22, 34, 39, 40]",0.15,0.5,apriori,2025-08-04T16:14:21.255762
"[3, 19, 21, 23, 32, 36]",0.15,0.5,apriori,2025-08-04T16:14:21.255763
"[5, 20, 26, 30, 31, 36]",0.15,0.5,apriori,2025-08-04T16:14:21.255765
"[2, 3, 6, 8, 16, 33]",0.15,0.5,apriori,2025-08-04T16:14:21.255766
