ranking,combination,source,score,confidence,priority,weight,high_numbers_count,has_number_14
1,1-4-7-10-20-30,200_analyzer_v2,1.0,1.0,2,0.12,1,False
2,4-5-9-11-20-30,200_analyzer_v2,1.0,1.0,2,0.12,1,False
3,1-5-8-10-20-30,200_analyzer_v2,1.0,1.0,2,0.12,1,False
4,4-5-6-7-20-30,200_analyzer_v2,1.0,1.0,2,0.12,1,False
5,1-4-9-12-20-30,200_analyzer_v2,0.9520000000000001,1.0,2,0.12,1,False
6,3-4-9-12-20-30,200_analyzer_v2,0.896,1.0,2,0.12,1,False
7,1-4-7-8-20-30,200_analyzer_v2,0.8400000000000001,1.0,2,0.12,1,False
8,4-9-11-12-20-30,200_analyzer_v2,0.784,1.0,2,0.12,1,False
9,30-31-34-35-36-40,neural_enhanced_v2,0.7374566197395325,0.053509440273046494,1,0.4,6,False
10,15-30-31-33-37-40,neural_enhanced_v2,0.7374242544174194,0.05346326157450676,1,0.4,5,False
