ranking,combination,source,score,confidence,priority
1,14-15-18-21-35-37,200_analyzer,1.0,1.0,1
2,14-17-18-20-23-24,200_analyzer,1.0,1.0,1
3,14-17-18-22-30-35,200_analyzer,1.0,1.0,1
4,15-16-18-30-35-37,200_analyzer,1.0,1.0,1
5,7-16-19-20-24-27,200_analyzer,1.0,1.0,1
6,11-20-21-27-30-39,neural_enhanced,0.5132625699043274,0.026525117456912994,1
7,3-8-27-28-30-40,neural_enhanced,0.5132346749305725,0.026469379663467407,1
8,3-12-13-16-18-21,neural_enhanced,0.5131866931915283,0.02637341432273388,1
9,11-14-24-27-30-31,neural_enhanced,0.5129615664482117,0.02592308074235916,1
10,2-8-11-16-27-30,neural_enhanced,0.5126367807388306,0.025273576378822327,1
